text,intent,source,rejected_intent,family,held_out,symptom,axis,role
"please do not make it up, make it down",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
"i do not want you to make it started, make it stopped",Cmd.StreamingStop,F1_negation_corrective,,,,,,
stop trying to unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it quieter, make it louder",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
i did not ask you to set a reminder,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it stopped, make it started",Cmd.StreamingStart,F1_negation_corrective,,,,,,
"muted please, not unmuted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
i did not ask you to unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
"not started, stopped",Cmd.StreamingStop,F1_negation_corrective,,,,,,
"no, muted not unmuted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
"unmuted please, not muted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
"please do not make it down, make it up",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
there is no need to send a message,Default Fallback Intent,F1_negation_bare,,,,,,
please do not unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
"not down, up",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
stop trying to make it louder,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to switch my program,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
please do not lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
no need to turn it down,Default Fallback Intent,F1_negation_bare,,,,,,
"please do not make it louder, make it quieter",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
i never asked you to stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
please do not play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to mute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to start streaming,Default Fallback Intent,F1_negation_bare,,,,,,
no need to make it louder,Default Fallback Intent,F1_negation_bare,,,,,,
please do not start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to turn it up,Default Fallback Intent,F1_negation_bare,,,,,,
stop trying to start transcribing,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it started, make it stopped",Cmd.StreamingStop,F1_negation_corrective,,,,,,
i did not ask you to switch my program,Default Fallback Intent,F1_negation_bare,,,,,,
there is no need to set a reminder,Default Fallback Intent,F1_negation_bare,,,,,,
"please do not make it stopped, make it started",Cmd.StreamingStart,F1_negation_corrective,,,,,,
"i said stopped, not started",Cmd.StreamingStop,F1_negation_corrective,,,,,,
"i do not want you to make it down, make it up",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
"i said unmuted, not muted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
i did not ask you to play my messages,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to turn it down,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it up, make it down",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
"no, quieter not louder",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
there is no need to start streaming,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to turn it up,Default Fallback Intent,F1_negation_bare,,,,,,
"no, up not down",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
no need to change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
"don't make it quieter, make it louder",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
no need to lower the volume,Default Fallback Intent,F1_negation_bare,,,,,,
"i wanted it stopped, not started",Cmd.StreamingStop,F1_negation_corrective,,,,,,
i do not want you to turn it down,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to mute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to set a reminder,Default Fallback Intent,F1_negation_bare,,,,,,
"no, unmuted not muted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
no need to find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
"i did not ask you to make it unmuted, make it muted",Cmd.VolumeMute,F1_negation_corrective,,,,,,
there is no need to find my phone,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to start translating,Default Fallback Intent,F1_negation_bare,,,,,,
"i do not want you to make it stopped, make it started",Cmd.StreamingStart,F1_negation_corrective,,,,,,
stop trying to stop streaming,Default Fallback Intent,F1_negation_bare,,,,,,
"no, down not up",Cmd.VolumeDecrease,F1_negation_corrective,,,,,,
"up please, not down",Cmd.VolumeIncrease,F1_negation_corrective,,,,,,
stop trying to change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
no need to switch my program,Default Fallback Intent,F1_negation_bare,,,,,,
"i wanted it unmuted, not muted",Cmd.VolumeUnmute,F1_negation_corrective,,,,,,
i do not want you to start streaming,Default Fallback Intent,F1_negation_bare,,,,,,
"no, started not stopped",Cmd.StreamingStart,F1_negation_corrective,,,,,,
i do not want you to change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
i do not want you to raise the volume,Default Fallback Intent,F1_negation_bare,,,,,,
please do not change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
i never asked you to change my memory,Default Fallback Intent,F1_negation_bare,,,,,,
please do not start translating,Default Fallback Intent,F1_negation_bare,,,,,,
no need to unmute the aids,Default Fallback Intent,F1_negation_bare,,,,,,
no need to send a message,Default Fallback Intent,F1_negation_bare,,,,,,
can you pump up the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
would you crank up the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
can you lower the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
pump up the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
dial down the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
would you step down the volume for me,Cmd.VolumeDecrease,F2_direction,,,,,,
crank up the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
please soften the level,Cmd.VolumeDecrease,F2_direction,,,,,,
decrease it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
please decrease the level,Cmd.VolumeDecrease,F2_direction,,,,,,
turn up the sound a bit,Cmd.VolumeIncrease,F2_direction,,,,,,
damp down the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
bring up my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
can you push down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
step up it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
damp down my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
sounds are coming through very thin,Cmd.VolumeIncrease,F2_direction,,,,,,
please crank up the level,Cmd.VolumeIncrease,F2_direction,,,,,,
turn up the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
cut back it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
push up my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
decrease my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
soften it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
please reduce the level,Cmd.VolumeDecrease,F2_direction,,,,,,
cut back my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
can you dial down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
lift my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
bring down it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
can you damp down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
please turn down the level,Cmd.VolumeDecrease,F2_direction,,,,,,
would you push down the volume for me,Cmd.VolumeDecrease,F2_direction,,,,,,
can you decrease the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
lower the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
amplify the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
cut back the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
amplify my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
dial down the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
pump up it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
step up the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
can you lift the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
can you step down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
please bring up the level,Cmd.VolumeIncrease,F2_direction,,,,,,
push up it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
can you boost the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
amplify the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
step up the sound a bit,Cmd.VolumeIncrease,F2_direction,,,,,,
step down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
can you soften the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
can you bring down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
push down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
would you boost the sound for me,Cmd.VolumeIncrease,F2_direction,,,,,,
would you amplify the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
boost the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
crank up the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
push down my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
put the audio through to my aids,Cmd.StreamingStart,F2_direction,,,,,,
would you lift the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
sounds are coming through very heavy,Cmd.VolumeDecrease,F2_direction,,,,,,
would you step up the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
would you bring down the volume for me,Cmd.VolumeDecrease,F2_direction,,,,,,
reduce my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
push down my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
can you step down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
crank up it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
can you cut back the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
lower my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
this is far too faint,Cmd.VolumeIncrease,F2_direction,,,,,,
step down it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
please raise the level,Cmd.VolumeIncrease,F2_direction,,,,,,
step down the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
can you reduce the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
lift the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
lift my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
increase the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
soften the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
open the audio link,Cmd.StreamingStart,F2_direction,,,,,,
raise the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
please step up the level,Cmd.VolumeIncrease,F2_direction,,,,,,
turn down the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
bring up the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
would you lower the volume for me,Cmd.VolumeDecrease,F2_direction,,,,,,
increase the sound a bit,Cmd.VolumeIncrease,F2_direction,,,,,,
can you increase the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
raise the sound a bit,Cmd.VolumeIncrease,F2_direction,,,,,,
step up my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
please pump up the level,Cmd.VolumeIncrease,F2_direction,,,,,,
this is far too harsh,Cmd.VolumeDecrease,F2_direction,,,,,,
would you crank up the sound for me,Cmd.VolumeIncrease,F2_direction,,,,,,
the speech is too weak,Cmd.VolumeIncrease,F2_direction,,,,,,
switch the sound on again,Cmd.VolumeUnmute,F2_direction,,,,,,
step up my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
can you step up the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
would you cut back the volume for me,Cmd.VolumeDecrease,F2_direction,,,,,,
boost the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
can you crank up the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
step down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
cut back the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
take the audio off my aids,Cmd.StreamingStop,F2_direction,,,,,,
please lift the level,Cmd.VolumeIncrease,F2_direction,,,,,,
push down it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
bring down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
would you decrease the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
dial down my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
turn up it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
would you cut back the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
raise my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
can you amplify the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
please turn up the level,Cmd.VolumeIncrease,F2_direction,,,,,,
bring up the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
please damp down the level,Cmd.VolumeDecrease,F2_direction,,,,,,
dial down it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
reduce it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
would you raise the sound for me,Cmd.VolumeIncrease,F2_direction,,,,,,
would you damp down the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
crank up the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
would you damp down the volume for me,Cmd.VolumeDecrease,F2_direction,,,,,,
please increase the level,Cmd.VolumeIncrease,F2_direction,,,,,,
can you raise the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
would you increase the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
bring up my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
raise my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
dial down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
raise the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
bring up it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
pump up my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
push up the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
would you reduce the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
bring down my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
step down the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
turn down the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
crank up my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
please cut back the level,Cmd.VolumeDecrease,F2_direction,,,,,,
would you dial down the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
can you cut back the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
please amplify the level,Cmd.VolumeIncrease,F2_direction,,,,,,
boost the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
increase my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
would you boost the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
bring up the sound a bit,Cmd.VolumeIncrease,F2_direction,,,,,,
please push down the level,Cmd.VolumeDecrease,F2_direction,,,,,,
can you crank up the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
decrease my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
soften my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
lift the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
boost my aids,Cmd.VolumeIncrease,F2_direction,,,,,,
reduce the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
decrease the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
step up the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
bring down my hearing aids,Cmd.VolumeDecrease,F2_direction,,,,,,
dial down my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
would you decrease the volume for me,Cmd.VolumeDecrease,F2_direction,,,,,,
amplify the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
raise it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
would you lift the sound for me,Cmd.VolumeIncrease,F2_direction,,,,,,
cut back my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
increase the audio please,Cmd.VolumeIncrease,F2_direction,,,,,,
increase it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
step down my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
push down the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
soften my aids,Cmd.VolumeDecrease,F2_direction,,,,,,
would you step down the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
lift it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
damp down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
damp down the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
push up the sound a bit,Cmd.VolumeIncrease,F2_direction,,,,,,
soften the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
boost it a little,Cmd.VolumeIncrease,F2_direction,,,,,,
close the audio link,Cmd.StreamingStop,F2_direction,,,,,,
push down the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
can you step up the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
lower the audio please,Cmd.VolumeDecrease,F2_direction,,,,,,
damp down it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
would you push up the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
damp down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
would you pump up the volume for me,Cmd.VolumeIncrease,F2_direction,,,,,,
please boost the level,Cmd.VolumeIncrease,F2_direction,,,,,,
amplify my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
cut back the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
step up the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
can you push down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
turn down it a little,Cmd.VolumeDecrease,F2_direction,,,,,,
everything is deafening,Cmd.VolumeDecrease,F2_direction,,,,,,
bring down the sound a bit,Cmd.VolumeDecrease,F2_direction,,,,,,
would you soften the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
can you lift the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
crank up my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
the speech is too strong,Cmd.VolumeDecrease,F2_direction,,,,,,
boost my hearing aids,Cmd.VolumeIncrease,F2_direction,,,,,,
can you bring up the volume,Cmd.VolumeIncrease,F2_direction,,,,,,
bring down the sound,Cmd.VolumeDecrease,F2_direction,,,,,,
would you lower the sound for me,Cmd.VolumeDecrease,F2_direction,,,,,,
would you step up the sound for me,Cmd.VolumeIncrease,F2_direction,,,,,,
would you amplify the sound for me,Cmd.VolumeIncrease,F2_direction,,,,,,
can you push up the sound,Cmd.VolumeIncrease,F2_direction,,,,,,
can you dial down the volume,Cmd.VolumeDecrease,F2_direction,,,,,,
